DATE,TIME,VOLTAGE,CURRENT,AMBIENT,TARGET,HUMIDITY,SEASON,Power
01-09-2022,10:00 A.M,18.3V,0.18A,33.16°C,46.79°C,85.11%,rainy,3.294
,11:00 A.M,18.51V,0.14A,35.28°C,48.27°C,85.53%,,2.5914
,12:00 P.M,17.9V,0.09A,37.47°C,49.39°C,85.6%,,1.611
,13:00 P.M,18.0V,0.01A,38.37°C,51.31°C,85.72%,,0.18
,14:00 P.M,17.7V,0.02A,38.77°C,56.85°C,85.95%,,0.354
,15:00 P.M,18.56V,0.02A,39.1°C,60.33°C,86.1%,,0.3712
,16:00 P.M,19.9V,0.02A,35.28°C,55.03°C,85.66%,,0.398
,17:00 P.M,19.96V,0.02A,35.28°C,47.23°C,85.11%,,0.3992
02-09-2022,10:00 A.M,18.3V,0.18A,29.09°C,47.23°C,75.33%,cloudy,3.294
,11:00 A.M,18.51V,0.14A,29.53°C,48.11°C,75.66%,,2.5914
,12:00 P.M,17.9V,0.09A,34.87°C,54.07°C,65.78%,,1.611
,13:00 P.M,18.0V,0.01A,34.97°C,55.03°C,65.67%,,0.18
,14:00 P.M,17.7V,0.02A,35.28°C,55.03°C,65.11%,,0.354
,15:00 P.M,18.56V,0.02A,35.28°C,55.03°C,65.53%,,0.3712
,16:00 P.M,19.9V,0.02A,33.16°C,54.07°C,65.11%,,0.398
,17:00 P.M,19.96V,0.02A,33.16°C,48.11°C,65.72%,,0.3992
03-09-2022,10:00 A.M,18.3V,0.18A,29.09°C,47.23°C,65.67%,cloudy,3.294
,11:00 A.M,18.51V,0.14A,29.53°C,48.11°C,65.33%,,2.5914
,12:00 P.M,17.9V,0.09A,34.87°C,54.07°C,65.66%,,1.611
,13:00 P.M,18.0V,0.01A,34.97°C,55.03°C,65.11%,,0.18
,14:00 P.M,17.7V,0.02A,35.28°C,55.03°C,65.6%,,0.354
,15:00 P.M,18.56V,0.02A,35.88°C,57.03°C,75.11%,,0.3712
,16:00 P.M,19.9V,0.02A,33.16°C,54.07°C,65.53%,,0.398
,17:00 P.M,19.96V,0.02A,33.16°C,48.11°C,65.6%,,0.3992
04-09-2022,10:00 A.M,18.3V,0.18A,33.45°C,46.79°C,85.11%,rainy,3.294
,11:00 A.M,18.51V,0.14A,35.66°C,48.27°C,85.53%,,2.5914
,12:00 P.M,17.9V,0.09A,37.78°C,49.39°C,85.6%,,1.611
,13:00 P.M,18.0V,0.01A,38.69°C,51.31°C,85.72%,,0.18
,14:00 P.M,17.7V,0.02A,38.75°C,56.85°C,85.95%,,0.354
,15:00 P.M,18.56V,0.02A,38.1°C,58.33°C,86.1%,,0.3712
,16:00 P.M,19.9V,0.02A,35.56°C,55.03°C,85.66%,,0.398
,17:00 P.M,19.96V,0.02A,35.28°C,47.23°C,85.11%,,0.3992
05-09-2022,10:00 A.M,18.3V,0.18A,33.16°C,46.79°C,85.11%,rainy,3.294
,11:00 A.M,18.51V,0.14A,35.66°C,48.27°C,85.53%,,2.5914
,12:00 P.M,17.9V,0.09A,37.47°C,49.39°C,85.6%,,1.611
,13:00 P.M,18.0V,0.01A,38.69°C,51.31°C,85.72%,,0.18
,14:00 P.M,17.7V,0.02A,38.77°C,56.85°C,85.95%,,0.354
,15:00 P.M,18.56V,0.02A,38.1°C,58.33°C,86.1%,,0.3712
,16:00 P.M,19.9V,0.02A,35.28°C,55.03°C,85.66%,,0.398
,17:00 P.M,19.96V,0.02A,35.28°C,47.23°C,85.11%,,0.3992
06-09-2022,10:00 A.M,18.3V,0.18A,29.09°C,47.23°C,65.78%,cloudy,3.294
,11:00 A.M,18.51V,0.14A,29.53°C,48.11°C,65.67%,,2.5914
,12:00 P.M,17.9V,0.09A,34.87°C,54.07°C,75.33%,,1.611
,13:00 P.M,18.0V,0.01A,34.97°C,55.03°C,65.66%,,0.18
,14:00 P.M,17.7V,0.02A,35.28°C,55.03°C,65.11%,,0.354
,15:00 P.M,18.56V,0.02A,35.28°C,57.03°C,65.53%,,0.3712
,16:00 P.M,19.9V,0.02A,33.16°C,54.07°C,65.6%,,0.398
,17:00 P.M,19.96V,0.02A,33.06°C,49.88°C,65.72%,,0.3992
07-09-2022,10:00 A.M,18.3V,0.18A,33.16°C,46.79°C,85.11%,rainy,3.294
,11:00 A.M,18.51V,0.14A,35.28°C,48.27°C,85.53%,,2.5914
,12:00 P.M,17.9V,0.09A,37.47°C,49.39°C,85.6%,,1.611
,13:00 P.M,18.0V,0.01A,38.37°C,51.31°C,85.72%,,0.18
,14:00 P.M,17.7V,0.02A,38.77°C,56.85°C,85.95%,,0.354
,15:00 P.M,18.56V,0.02A,39.1°C,60.33°C,86.1%,,0.3712
,16:00 P.M,19.9V,0.02A,35.28°C,55.03°C,85.66%,,0.398
,17:00 P.M,19.96V,0.02A,35.28°C,47.23°C,85.11%,,0.3992
08-09-2022,10:00 A.M,18.3V,0.18A,33.45°C,46.79°C,85.11%,rainy,3.294
,11:00 A.M,18.51V,0.14A,35.66°C,48.27°C,85.53%,,2.5914
,12:00 P.M,17.9V,0.09A,37.78°C,49.39°C,85.6%,,1.611
,13:00 P.M,18.0V,0.01A,38.69°C,51.31°C,85.72%,,0.18
,14:00 P.M,17.7V,0.02A,38.75°C,56.85°C,85.95%,,0.354
,15:00 P.M,18.56V,0.02A,38.1°C,58.33°C,86.1%,,0.3712
,16:00 P.M,19.9V,0.02A,35.56°C,55.03°C,85.66%,,0.398
,17:00 P.M,19.96V,0.02A,35.28°C,47.23°C,85.11%,,0.3992
09-09-2022,10:00 A.M,18.3V,0.18A,33.16°C,46.79°C,85.11%,rainy,3.294
,11:00 A.M,18.51V,0.14A,35.28°C,48.27°C,85.53%,,2.5914
,12:00 P.M,17.9V,0.09A,37.47°C,49.39°C,85.6%,,1.611
,13:00 P.M,18.0V,0.01A,38.37°C,51.31°C,85.72%,,0.18
,14:00 P.M,17.7V,0.02A,38.77°C,56.85°C,85.95%,,0.354
,15:00 P.M,18.56V,0.02A,39.1°C,60.33°C,86.1%,,0.3712
,16:00 P.M,19.9V,0.02A,36.28°C,55.03°C,85.66%,,0.398
,17:00 P.M,19.96V,0.02A,35.28°C,47.23°C,85.11%,,0.3992
10-09-2022,10:00 A.M,18.3V,0.18A,29.09°C,47.23°C,65.78%,cloudy,3.294
,11:00 A.M,18.51V,0.14A,29.53°C,48.11°C,65.67%,,2.5914
,12:00 P.M,17.9V,0.09A,34.87°C,54.07°C,75.33%,,1.611
,13:00 P.M,18.0V,0.01A,35.97°C,55.53°C,75.66%,,0.18
,14:00 P.M,17.7V,0.02A,35.59°C,55.03°C,65.11%,,0.354
,15:00 P.M,18.56V,0.02A,35.28°C,54.83°C,65.53%,,0.3712
,16:00 P.M,19.9V,0.02A,33.1°C,54.07°C,65.6%,,0.398
,17:00 P.M,19.96V,0.02A,33.16°C,48.11°C,65.72%,,0.3992
11-09-2022,10:00 A.M,18.3V,0.18A,29.09°C,47.23°C,65.78%,cloudy,3.294
,11:00 A.M,18.51V,0.14A,30.53°C,48.11°C,65.67%,,2.5914
,12:00 P.M,17.9V,0.09A,34.87°C,54.07°C,75.33%,,1.611
,13:00 P.M,18.0V,0.01A,34.97°C,55.03°C,75.66%,,0.18
,14:00 P.M,17.7V,0.02A,35.28°C,55.03°C,65.11%,,0.354
,15:00 P.M,18.56V,0.02A,35.28°C,55.03°C,65.53%,,0.3712
,16:00 P.M,19.9V,0.02A,33.16°C,54.07°C,65.6%,,0.398
,17:00 P.M,19.96V,0.02A,33.16°C,48.11°C,65.72%,,0.3992
12-09-2022,10:00 A.M,18.3V,0.18A,33.16°C,46.79°C,85.11%,rainy,3.294
,11:00 A.M,18.51V,0.14A,35.28°C,48.27°C,85.53%,,2.5914
,12:00 P.M,17.9V,0.09A,37.47°C,49.39°C,85.6%,,1.611
,13:00 P.M,18.0V,0.01A,38.37°C,51.31°C,85.72%,,0.18
,14:00 P.M,17.7V,0.02A,38.77°C,56.85°C,85.95%,,0.354
,15:00 P.M,18.56V,0.02A,39.1°C,60.33°C,86.1%,,0.3712
,16:00 P.M,19.9V,0.02A,35.28°C,55.03°C,85.66%,,0.398
,17:00 P.M,19.96V,0.02A,35.28°C,47.23°C,85.11%,,0.3992
13-09-2022,10:00 A.M,18.3V,0.18A,33.45°C,46.79°C,85.11%,rainy,3.294
,11:00 A.M,18.51V,0.14A,35.66°C,48.27°C,85.53%,,2.5914
,12:00 P.M,17.9V,0.09A,37.78°C,49.39°C,85.6%,,1.611
,13:00 P.M,18.0V,0.01A,38.69°C,51.31°C,85.72%,,0.18
,14:00 P.M,17.7V,0.02A,38.75°C,56.85°C,85.95%,,0.354
,15:00 P.M,18.56V,0.02A,38.1°C,58.33°C,86.1%,,0.3712
,16:00 P.M,19.9V,0.02A,35.56°C,55.03°C,85.66%,,0.398
,17:00 P.M,19.96V,0.02A,35.28°C,47.23°C,85.11%,,0.3992
14-09-2022,10:00 A.M,18.3V,0.18A,29.09°C,47.23°C,65.78%,cloudy,3.294
,11:00 A.M,18.51V,0.14A,29.53°C,48.11°C,65.67%,,2.5914
,12:00 P.M,17.9V,0.09A,34.87°C,54.07°C,75.33%,,1.611
,13:00 P.M,18.0V,0.01A,35.97°C,55.53°C,75.66%,,0.18
,14:00 P.M,17.7V,0.02A,35.59°C,55.03°C,65.11%,,0.354
,15:00 P.M,18.56V,0.02A,35.28°C,54.83°C,65.53%,,0.3712
,16:00 P.M,19.9V,0.02A,33.1°C,54.07°C,65.6%,,0.398
,17:00 P.M,19.96V,0.02A,33.16°C,48.11°C,65.72%,,0.3992
15-09-2022,10:00 A.M,18.3V,0.18A,29.09°C,47.23°C,65.78%,cloudy,3.294
,11:00 A.M,18.51V,0.14A,29.53°C,48.11°C,65.67%,,2.5914
,12:00 P.M,17.9V,0.09A,34.87°C,54.07°C,75.33%,,1.611
,13:00 P.M,18.0V,0.01A,35.97°C,55.53°C,75.66%,,0.18
,14:00 P.M,17.7V,0.02A,35.59°C,55.03°C,65.11%,,0.354
,15:00 P.M,18.56V,0.02A,35.28°C,54.83°C,65.53%,,0.3712
,16:00 P.M,19.9V,0.02A,33.1°C,54.07°C,65.6%,,0.398
,17:00 P.M,19.96V,0.02A,33.16°C,48.11°C,65.72%,,0.3992
16-09-2022,10:00 A.M,20.5V,2.4A,33.16°C,46.79°C,35.78%,little sunny,49.2
,11:00 A.M,20.6V,2.72A,35.28°C,48.27°C,35.67%,,56.032
,12:00 P.M,20.7V,2.98A,37.47°C,49.39°C,35.33%,,61.686
,13:00 P.M,19.9V,2.01A,38.37°C,51.31°C,35.66%,,39.999
,14:00 P.M,19.72V,0.56A,38.77°C,56.85°C,35.11%,,11.0432
,15:00 P.M,19.9V,1.1A,39.1°C,60.33°C,35.53%,,21.89
,16:00 P.M,20.5V,1.25A,35.28°C,55.03°C,35.6%,,25.625
,17:00 P.M,18.6V,1.2A,35.28°C,47.23°C,35.72%,,22.32
17-09-2022,10:00 A.M,20.5V,2.4A,33.16°C,46.79°C,35.78%,little sunny,49.2
,11:00 A.M,20.6V,2.72A,35.28°C,48.27°C,35.67%,,56.032
,12:00 P.M,20.7V,2.98A,37.47°C,49.39°C,35.33%,,61.686
,13:00 P.M,19.9V,2.01A,38.37°C,51.31°C,35.66%,,39.999
,14:00 P.M,19.72V,0.56A,38.77°C,56.85°C,35.11%,,11.0432
,15:00 P.M,19.9V,1.1A,39.1°C,60.33°C,35.53%,,21.89
,16:00 P.M,20.5V,1.25A,35.28°C,55.03°C,35.6%,,25.625
,17:00 P.M,18.6V,1.2A,35.28°C,47.23°C,35.72%,,22.32
18-09-2022,10:00 A.M,20.5V,2.4A,34.16°C,46.79°C,35.78%,little sunny,49.2
,11:00 A.M,20.6V,2.72A,35.28°C,48.27°C,35.67%,,56.032
,12:00 P.M,20.7V,2.98A,36.57°C,49.39°C,35.33%,,61.686
,13:00 P.M,19.9V,2.01A,37.37°C,51.31°C,35.66%,,39.999
,14:00 P.M,19.72V,0.56A,38.77°C,56.85°C,35.11%,,11.0432
,15:00 P.M,19.9V,1.1A,39.1°C,60.33°C,35.53%,,21.89
,16:00 P.M,20.5V,1.25A,36.28°C,58.03°C,35.6%,,25.625
,17:00 P.M,18.6V,1.2A,35.33°C,52.23°C,35.72%,,22.32
19-09-2022,10:00 A.M,19.3V,0.18A,34.86°C,46.79°C,25.78%,sunny,3.474
,11:00 A.M,19.51V,0.14A,36.28°C,48.27°C,25.67%,,2.7314
,12:00 P.M,18.9V,0.09A,38.47°C,49.39°C,25.33%,,1.701
,13:00 P.M,18.0V,0.01A,39.37°C,51.31°C,25.66%,,0.18
,14:00 P.M,18.7V,0.02A,39.77°C,56.85°C,25.11%,,0.374
,15:00 P.M,18.56V,0.02A,39.1°C,60.33°C,25.53%,,0.3712
,16:00 P.M,19.9V,0.02A,37.28°C,55.03°C,25.6%,,0.398
,17:00 P.M,19.96V,0.02A,35.8°C,47.23°C,25.72%,,0.3992
20-09-2022,10:00 A.M,20.5V,2.4A,34.87°C,54.07°C,35.78%,little sunny,49.2
,11:00 A.M,20.6V,2.72A,34.97°C,55.03°C,35.67%,,56.032
,12:00 P.M,20.7V,2.98A,29.09°C,47.23°C,35.33%,,61.686
,13:00 P.M,19.9V,2.01A,29.53°C,48.11°C,35.66%,,39.999
,14:00 P.M,19.72V,0.56A,33.16°C,54.07°C,35.11%,,11.0432
,15:00 P.M,19.9V,1.1A,35.28°C,55.03°C,35.53%,,21.89
,16:00 P.M,20.5V,1.25A,35.28°C,47.23°C,35.6%,,25.625
,17:00 P.M,18.6V,1.2A,33.16°C,48.11°C,35.72%,,22.32
21-09-2022,10:00 A.M,20.5V,2.4A,34.16°C,46.79°C,35.78%,little sunny,49.2
,11:00 A.M,20.6V,2.72A,35.28°C,48.27°C,35.67%,,56.032
,12:00 P.M,20.7V,2.98A,36.57°C,49.39°C,35.33%,,61.686
,13:00 P.M,19.9V,2.01A,37.37°C,51.31°C,35.66%,,39.999
,14:00 P.M,19.72V,0.56A,38.77°C,56.85°C,35.11%,,11.0432
,15:00 P.M,19.9V,1.1A,39.1°C,60.33°C,35.53%,,21.89
,16:00 P.M,20.5V,1.25A,36.28°C,58.03°C,35.6%,,25.625
,17:00 P.M,18.6V,1.2A,35.33°C,52.23°C,35.72%,,22.32
22-09-2022,10:00 A.M,20.5V,2.4A,34.16°C,46.79°C,35.78%,little sunny,49.2
,11:00 A.M,20.6V,2.72A,35.28°C,48.27°C,35.67%,,56.032
